brick_rejections,prompt,structure_id
13,Brick-built car with detailed roof and protruding bumper.,fd5f1376-4d9d-40d3-a2c9-933e229a4009
115,Brick vehicle featuring rectangular shape and raised roof elements.,fd5f1376-4d9d-40d3-a2c9-933e229a4009
99,"Car with a blocky structure, defined roof, and distinct front bumper.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
132,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
477,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
367,Brick-built car with detailed roof and protruding bumper.,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
67,Brick vehicle featuring rectangular shape and raised roof elements.,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
4,"Car with a blocky structure, defined roof, and distinct front bumper.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
282,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
71,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
72,Compact car with defined geometric features and angular contours.,8a9c164f-5e11-41e4-ba70-f0669ab3d033
140,A small car exhibiting a box-like structure and prominent edges.,8a9c164f-5e11-41e4-ba70-f0669ab3d033
34,"A blocky car shape with angular front, flat top, and rectangular sides.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
111,"A car featuring a stepped front bumper beneath an angular hood, square roof, and precise rectangular body.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
72,"A geometric car with an angular hood, stepped front bumper, flat roof, and rectangular sides. The body is compact, with distinct, sharp edges forming a cohesive rectangular shape. The front grill is recessed, enhancing the defined contour of the vehicle.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
120,Compact car with a rectangular body and angular corners.,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
93,"A car with an angular, box-like structure and defined corners.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
79,"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
178,"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
35,"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
45,Compact car with a rectangular body and angular corners.,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
296,"A car with an angular, box-like structure and defined corners.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
29,"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
152,"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
60,"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
8,Compact car shape with geometric components.,af09dc1a-bf90-45a5-996c-74f052a0ad13
68,Rectangular car body with angular extensions and tiered surfaces.,af09dc1a-bf90-45a5-996c-74f052a0ad13
137,Angular vehicle with a streamlined roof and pronounced rectangular base.,af09dc1a-bf90-45a5-996c-74f052a0ad13
62,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",af09dc1a-bf90-45a5-996c-74f052a0ad13
382,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",af09dc1a-bf90-45a5-996c-74f052a0ad13
1045,Compact car shape with geometric components.,50a9225a-5599-4128-aee9-e716458f102e
35,Rectangular car body with angular extensions and tiered surfaces.,50a9225a-5599-4128-aee9-e716458f102e
431,Angular vehicle with a streamlined roof and pronounced rectangular base.,50a9225a-5599-4128-aee9-e716458f102e
36,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",50a9225a-5599-4128-aee9-e716458f102e
188,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",50a9225a-5599-4128-aee9-e716458f102e
134,Compact car with a blocky form.,fe042a53-55db-4885-8e36-02683200f1c4
169,Compact automobile featuring a block-based rectangular body.,fe042a53-55db-4885-8e36-02683200f1c4
702,"Automobile with a rectangular body, flat roof, and angular sides.",fe042a53-55db-4885-8e36-02683200f1c4
163,"Car with a rectangular body, a flat top, and an angled front. The vehicle has blocky wheels set underneath.",fe042a53-55db-4885-8e36-02683200f1c4
128,"Rectangular car with a flat upper surface and sloped front. The front features a protruding block arrangement, while four square wheels with block edges support the body.",fe042a53-55db-4885-8e36-02683200f1c4
36,Compact car with smooth contours and angular lines.,0ea3be70-6bd2-448f-9f96-34ce244bd03f
145,"Angular car with a flat top, hinted curves, and geometric sides.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
30,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
91,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
330,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
263,Compact car with smooth contours and angular lines.,cace7e3a-663a-4990-ae56-293cda033d3c
482,"Angular car with a flat top, hinted curves, and geometric sides.",cace7e3a-663a-4990-ae56-293cda033d3c
213,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",cace7e3a-663a-4990-ae56-293cda033d3c
267,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",cace7e3a-663a-4990-ae56-293cda033d3c
382,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",cace7e3a-663a-4990-ae56-293cda033d3c
268,"Compact car with a blocky, angular form.",62617df7-621f-4bf6-84df-7085055dba16
133,Brick-based vehicle with a tiered roof and rectangular windows.,62617df7-621f-4bf6-84df-7085055dba16
181,Boxy automobile featuring a layered rear and geometric front grille.,62617df7-621f-4bf6-84df-7085055dba16
171,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",62617df7-621f-4bf6-84df-7085055dba16
167,"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",62617df7-621f-4bf6-84df-7085055dba16
62,"Compact car with a blocky, angular form.",a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
307,Brick-based vehicle with a tiered roof and rectangular windows.,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
9,Boxy automobile featuring a layered rear and geometric front grille.,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
6,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
295,"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
25,"A minimalist car with a compact, boxy structure.",dedd8afe-04c6-4e95-b4ed-7df177842bb9
179,Compact car featuring a rectangular main body and squared edges.,dedd8afe-04c6-4e95-b4ed-7df177842bb9
301,"Car with a box-like body, flat roof, and angular contours.",dedd8afe-04c6-4e95-b4ed-7df177842bb9
178,"Boxy car form with a flat top, square wheels, and protruding front section.",dedd8afe-04c6-4e95-b4ed-7df177842bb9
217,"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",dedd8afe-04c6-4e95-b4ed-7df177842bb9
255,"A minimalist car with a compact, boxy structure.",37d342d0-3467-43b8-b203-5c2580462327
439,Compact car featuring a rectangular main body and squared edges.,37d342d0-3467-43b8-b203-5c2580462327
286,"Car with a box-like body, flat roof, and angular contours.",37d342d0-3467-43b8-b203-5c2580462327
9,"Boxy car form with a flat top, square wheels, and protruding front section.",37d342d0-3467-43b8-b203-5c2580462327
13,"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",37d342d0-3467-43b8-b203-5c2580462327
219,Compact vehicle with rounded edges and blocky structure.,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
120,Rectangular car form with rounded corners and layered sections.,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
69,The car features a block-like shape with a gently sloping front and squared rear.,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
2813,"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
1072,"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
93,Compact vehicle with rounded edges and blocky structure.,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
0,Rectangular car form with rounded corners and layered sections.,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
420,The car features a block-like shape with a gently sloping front and squared rear.,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
50,"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
0,"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
89,Compact car with blocky geometric features.,5bec0bfc-8136-466e-805f-7e5192f0d719
367,Car form with angular contours and layered surfaces.,5bec0bfc-8136-466e-805f-7e5192f0d719
10,"Block-shaped car with a flat roof, stepped sides, and protruding front.",5bec0bfc-8136-466e-805f-7e5192f0d719
125,"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",5bec0bfc-8136-466e-805f-7e5192f0d719
222,"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",5bec0bfc-8136-466e-805f-7e5192f0d719
304,Compact car with blocky geometric features.,f4059a6f-0557-4f70-9643-811d78e48065
536,Car form with angular contours and layered surfaces.,f4059a6f-0557-4f70-9643-811d78e48065
264,"Block-shaped car with a flat roof, stepped sides, and protruding front.",f4059a6f-0557-4f70-9643-811d78e48065
13,"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",f4059a6f-0557-4f70-9643-811d78e48065
142,"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",f4059a6f-0557-4f70-9643-811d78e48065
23,A basic car shape with a compact structure.,3cf62c1e-8026-47b9-bfc4-27664894343c
96,Compact automobile form with an angular roof and defined edges.,3cf62c1e-8026-47b9-bfc4-27664894343c
103,"Car with an angular rear and prominent, tiered front hood contours.",3cf62c1e-8026-47b9-bfc4-27664894343c
41,"Automotive form featuring a tiered hood, angular roof, and pronounced rear section, with discrete block placements suggesting wheels.",3cf62c1e-8026-47b9-bfc4-27664894343c
696,"A car form with an angular roof, tiered hood, and distinct, elevated rear. It displays pronounced geometric sections, with horizontal and vertical block sequences forming the body and subtle, recessed areas representing wheel arches.",3cf62c1e-8026-47b9-bfc4-27664894343c
3,A basic car shape with a compact structure.,977a1644-3d13-42c4-a62c-2649163a30c6
216,Compact automobile form with an angular roof and defined edges.,977a1644-3d13-42c4-a62c-2649163a30c6
160,"Car with an angular rear and prominent, tiered front hood contours.",977a1644-3d13-42c4-a62c-2649163a30c6
110,"Automotive form featuring a tiered hood, angular roof, and pronounced rear section, with discrete block placements suggesting wheels.",977a1644-3d13-42c4-a62c-2649163a30c6
125,"A car form with an angular roof, tiered hood, and distinct, elevated rear. It displays pronounced geometric sections, with horizontal and vertical block sequences forming the body and subtle, recessed areas representing wheel arches.",977a1644-3d13-42c4-a62c-2649163a30c6
90,"Car with rectangular body, smooth curves, and solid build.",ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
21,"Compact car with smooth curves, flat roof, and even sides.",ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
158,"Car featuring a rectangular and slightly tapered body, smooth curves, and balanced stance.",ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
45,"Rectangular car with flat roof, slightly tapered sides, tiered detailing on the roof, and layered sides.",ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
41,"A compact car with a rectangular body, featuring a flat roof and slightly tapered sides. The roof showcases tiered details, while the sides are layered. The car’s shape is smooth and curves uniformly around the edges, connecting the balanced front and rear sections.",ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
49,"Car with rectangular body, smooth curves, and solid build.",ce23086c-1512-4a81-93b6-ce4d7c15afd7
338,"Compact car with smooth curves, flat roof, and even sides.",ce23086c-1512-4a81-93b6-ce4d7c15afd7
52,"Car featuring a rectangular and slightly tapered body, smooth curves, and balanced stance.",ce23086c-1512-4a81-93b6-ce4d7c15afd7
65,"Rectangular car with flat roof, slightly tapered sides, tiered detailing on the roof, and layered sides.",ce23086c-1512-4a81-93b6-ce4d7c15afd7
130,"A compact car with a rectangular body, featuring a flat roof and slightly tapered sides. The roof showcases tiered details, while the sides are layered. The car’s shape is smooth and curves uniformly around the edges, connecting the balanced front and rear sections.",ce23086c-1512-4a81-93b6-ce4d7c15afd7
52,Compact car form with angular features and layered structure.,bea508b3-092a-4be5-999a-802d3f5690f2
214,"The car exhibits a rectangular body with stacked, tiered elements.",bea508b3-092a-4be5-999a-802d3f5690f2
11,Car features a cubic body with staggered layers and a flat roof.,bea508b3-092a-4be5-999a-802d3f5690f2
5,"The auto has a blocky front, stepped roof, and angular rear.",bea508b3-092a-4be5-999a-802d3f5690f2
128,"This car has a rectangular body, segmented roof, and layered sides. The rear end is slightly raised with protruding edges. The front is angular, composed of flat elements, forming a sloped hood. The sides are tiered, comprising descending layers from the roof to the base.",bea508b3-092a-4be5-999a-802d3f5690f2
64,Compact car form with angular features and layered structure.,681b1b36-72b0-4e95-99e0-1f3c70248ccf
278,"The car exhibits a rectangular body with stacked, tiered elements.",681b1b36-72b0-4e95-99e0-1f3c70248ccf
596,Car features a cubic body with staggered layers and a flat roof.,681b1b36-72b0-4e95-99e0-1f3c70248ccf
333,"The auto has a blocky front, stepped roof, and angular rear.",681b1b36-72b0-4e95-99e0-1f3c70248ccf
440,"This car has a rectangular body, segmented roof, and layered sides. The rear end is slightly raised with protruding edges. The front is angular, composed of flat elements, forming a sloped hood. The sides are tiered, comprising descending layers from the roof to the base.",681b1b36-72b0-4e95-99e0-1f3c70248ccf
68,Car with angular design and rectangular features.,e9a88922-ad49-4a0a-b2ef-4d28b2891958
12,Rectangular car shape with a tiered rooftop and sloped front.,e9a88922-ad49-4a0a-b2ef-4d28b2891958
69,"Car exhibiting a blocky form with an elevated rear, detailed with protruding sections.",e9a88922-ad49-4a0a-b2ef-4d28b2891958
142,"An angular car shape featuring multiple rectangular layers, a raised front end, and a stepped roofline.",e9a88922-ad49-4a0a-b2ef-4d28b2891958
111,"The car has a blocky, geometric form featuring a series of horizontal layers. It sports a slightly elevated front section with a sloping design. Boxy wheel arches dominate each corner, enhancing the angular aesthetic. The roof is tiered and slightly recessed, ending with a defined rear section.",e9a88922-ad49-4a0a-b2ef-4d28b2891958
19,Car with angular design and rectangular features.,154f1293-361d-4e9e-91f9-e659b2d195d5
129,Rectangular car shape with a tiered rooftop and sloped front.,154f1293-361d-4e9e-91f9-e659b2d195d5
297,"Car exhibiting a blocky form with an elevated rear, detailed with protruding sections.",154f1293-361d-4e9e-91f9-e659b2d195d5
21,"An angular car shape featuring multiple rectangular layers, a raised front end, and a stepped roofline.",154f1293-361d-4e9e-91f9-e659b2d195d5
72,"The car has a blocky, geometric form featuring a series of horizontal layers. It sports a slightly elevated front section with a sloping design. Boxy wheel arches dominate each corner, enhancing the angular aesthetic. The roof is tiered and slightly recessed, ending with a defined rear section.",154f1293-361d-4e9e-91f9-e659b2d195d5
6,Compact car with rectangular body and geometric features.,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
127,Rectangular car form with angular lines and protrusions.,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
175,"Car with elongated rectangular body, layered top, and structured base.",9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
148,"Rectangular car form featuring a tiered top, angular sides, and defined edges.",9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
332,"Car with a rectangular base, layered top section, angular sides, and distinct geometric elements suggesting details like a roof and bumpers.",9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
181,Compact car with rectangular body and geometric features.,e2963b0a-b2a4-4902-9924-d958f79940eb
157,Rectangular car form with angular lines and protrusions.,e2963b0a-b2a4-4902-9924-d958f79940eb
103,"Car with elongated rectangular body, layered top, and structured base.",e2963b0a-b2a4-4902-9924-d958f79940eb
720,"Rectangular car form featuring a tiered top, angular sides, and defined edges.",e2963b0a-b2a4-4902-9924-d958f79940eb
13,"Car with a rectangular base, layered top section, angular sides, and distinct geometric elements suggesting details like a roof and bumpers.",e2963b0a-b2a4-4902-9924-d958f79940eb
395,Compact car with a rectangular body and distinct contours.,98b30096-b482-471d-8a0a-a90b84770a24
31,Rectangular car with elevated rear section and rounded front edges.,98b30096-b482-471d-8a0a-a90b84770a24
49,"Car with a flat top, sloped windshield, and tiered rear section.",98b30096-b482-471d-8a0a-a90b84770a24
77,"A car featuring a flat top, rectangular sides, and subtly rounded front. The windshield slopes gently towards the front, while the rear section steps down in a tiered fashion, adding distinct layers to the rear profile.",98b30096-b482-471d-8a0a-a90b84770a24
31,"A car with a mainly rectangular body topped by a flat roof. The front is gently rounded, leading into a sloped windshield, producing a streamlined front profile. The rear has two distinct levels, giving the back a stepped appearance. Rectangular indentations on all sides provide additional geometric interest.",98b30096-b482-471d-8a0a-a90b84770a24
374,Compact car with a rectangular body and distinct contours.,334e7c6a-4ecb-42fb-9dd2-a17697453864
83,Rectangular car with elevated rear section and rounded front edges.,334e7c6a-4ecb-42fb-9dd2-a17697453864
115,"Car with a flat top, sloped windshield, and tiered rear section.",334e7c6a-4ecb-42fb-9dd2-a17697453864
88,"A car featuring a flat top, rectangular sides, and subtly rounded front. The windshield slopes gently towards the front, while the rear section steps down in a tiered fashion, adding distinct layers to the rear profile.",334e7c6a-4ecb-42fb-9dd2-a17697453864
116,"A car with a mainly rectangular body topped by a flat roof. The front is gently rounded, leading into a sloped windshield, producing a streamlined front profile. The rear has two distinct levels, giving the back a stepped appearance. Rectangular indentations on all sides provide additional geometric interest.",334e7c6a-4ecb-42fb-9dd2-a17697453864
188,Compact vehicle featuring layered rectangular components.,0cb6d2ed-745e-457e-b795-54153b2651d1
650,"A compact automobile with layered, rectangular elements forming its core.",0cb6d2ed-745e-457e-b795-54153b2651d1
176,Automobile characterized by a rectangular body and tiered sections. The front and rear show a stepped configuration with parallel lines.,0cb6d2ed-745e-457e-b795-54153b2651d1
4,"This compact car has a geometric design with rectangular tiers. Both the front and rear sections consist of stacked, parallel components. Sides feature integrated angular shapes.",0cb6d2ed-745e-457e-b795-54153b2651d1
56,"The car displays a geometric form with layered rectangles, creating a structured layout. The front and rear each exhibit a tiered design, composed of parallel, stepped layers. The sides incorporate interconnected angular elements, contributing to an overall coherent shape.",0cb6d2ed-745e-457e-b795-54153b2651d1
882,Compact vehicle featuring layered rectangular components.,93233f08-ae76-4740-990f-34b18a1b4f66
32,"A compact automobile with layered, rectangular elements forming its core.",93233f08-ae76-4740-990f-34b18a1b4f66
288,Automobile characterized by a rectangular body and tiered sections. The front and rear show a stepped configuration with parallel lines.,93233f08-ae76-4740-990f-34b18a1b4f66
17,"This compact car has a geometric design with rectangular tiers. Both the front and rear sections consist of stacked, parallel components. Sides feature integrated angular shapes.",93233f08-ae76-4740-990f-34b18a1b4f66
439,"The car displays a geometric form with layered rectangles, creating a structured layout. The front and rear each exhibit a tiered design, composed of parallel, stepped layers. The sides incorporate interconnected angular elements, contributing to an overall coherent shape.",93233f08-ae76-4740-990f-34b18a1b4f66
247,Compact car with rounded roof and structured sides.,20f12161-0cd4-41bd-875d-714f60e57cd2
233,"The vehicle features a smooth, curved top and squared sides.",20f12161-0cd4-41bd-875d-714f60e57cd2
23,"Car body showcases a rounded roofline, uniform blocks, and angular edges.",20f12161-0cd4-41bd-875d-714f60e57cd2
497,"Automobile with a gently arched roof, rectangular sides, and tiered rear.",20f12161-0cd4-41bd-875d-714f60e57cd2
447,"The car features a gently curved top with a tiered back section, rectangular sides, and a uniform block layout on the roof and side frames.",20f12161-0cd4-41bd-875d-714f60e57cd2
227,Compact vehicle with blocky geometric contours.,65b14898-9992-41ef-ad0a-9fb8b6b156ec
171,Rectangular vehicle with squared edges and segmented structure.,65b14898-9992-41ef-ad0a-9fb8b6b156ec
262,Boxy car shape with tiered layers and rows of small projections.,65b14898-9992-41ef-ad0a-9fb8b6b156ec
1,"Rectangular car form with a blocky roof and small vertical projections on top, overhanging the main body.",65b14898-9992-41ef-ad0a-9fb8b6b156ec
287,"Box-shaped car with a prominent top, defined by small vertical peaks, and the bottom section slightly recessed, creating noticeable edges along the rectangular body.",65b14898-9992-41ef-ad0a-9fb8b6b156ec
301,Compact car with angular build and distinct geometric lines.,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
116,"The car displays a rectangular body with defined, sharp edges.",1ee0d55a-fb75-46d8-8743-6ebf731c15ec
157,An angular car featuring a block-like structure with prominent squared contours.,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
55,"The vehicle is composed of a layered, angular form with a flat top and consistent geometric lines throughout its body.",1ee0d55a-fb75-46d8-8743-6ebf731c15ec
234,"This car consists of a rectangular base with layered, block-like sections creating a boxy appearance. The front and back are squared with consistent proportionality along the sides, and the top surface is flat and segmented, contributing to its distinctive geometric form.",1ee0d55a-fb75-46d8-8743-6ebf731c15ec
86,Compact car with angular build and distinct geometric lines.,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
