prompt,regenerations,structure_id
"The car displays a rectangular body with defined, sharp edges.",33,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
An angular car featuring a block-like structure with prominent squared contours.,8,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"The vehicle is composed of a layered, angular form with a flat top and consistent geometric lines throughout its body.",11,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"This car consists of a rectangular base with layered, block-like sections creating a boxy appearance. The front and back are squared with consistent proportionality along the sides, and the top surface is flat and segmented, contributing to its distinctive geometric form.",1,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"Toy car with blocky, angular shape and prominent front.",9,32fec060-363a-45cf-b604-9d8e02ef43a3
Rectangular toy car with squared front and layered blocks.,13,32fec060-363a-45cf-b604-9d8e02ef43a3
Blocky toy car featuring a rectangular body and tiered structure.,28,32fec060-363a-45cf-b604-9d8e02ef43a3
"Robust toy car with a cubic form, layered roof section, and protruding front.",30,32fec060-363a-45cf-b604-9d8e02ef43a3
"A toy car comprised of rectangular sections, block-by-block, with an angular roof, distinct square front, and slightly elevated rear, showcasing its overall cuboid geometry.",0,32fec060-363a-45cf-b604-9d8e02ef43a3
"Toy car with blocky, angular shape and prominent front.",4,348ec7b7-945c-4206-b901-f449f1fe39a6
Rectangular toy car with squared front and layered blocks.,6,348ec7b7-945c-4206-b901-f449f1fe39a6
Blocky toy car featuring a rectangular body and tiered structure.,5,348ec7b7-945c-4206-b901-f449f1fe39a6
"Robust toy car with a cubic form, layered roof section, and protruding front.",8,348ec7b7-945c-4206-b901-f449f1fe39a6
"A toy car comprised of rectangular sections, block-by-block, with an angular roof, distinct square front, and slightly elevated rear, showcasing its overall cuboid geometry.",4,348ec7b7-945c-4206-b901-f449f1fe39a6
"Compact car with a blocky, geometric form.",0,4fc8d070-79f3-41d4-a182-61a7a1e91c86
Blocky vehicle featuring rounded edges and layered surfaces.,0,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"Geometric car with a tiered roof, sloped front, and squared rear.",4,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"Car with a rectangular body, sloped hood, tiered roof, and angular rear corners.",5,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"A compact car with squared edges, a step-like roof, inclined hood, flat side panels, and a blocky rear. The roof is three stepped layers, while the rear and front are slightly recessed with protruding details for the hood and trunk areas.",4,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"Compact car with a blocky, geometric form.",1,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
Blocky vehicle featuring rounded edges and layered surfaces.,14,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
"Geometric car with a tiered roof, sloped front, and squared rear.",10,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
"Car with a rectangular body, sloped hood, tiered roof, and angular rear corners.",23,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
"A compact car with squared edges, a step-like roof, inclined hood, flat side panels, and a blocky rear. The roof is three stepped layers, while the rear and front are slightly recessed with protruding details for the hood and trunk areas.",6,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
Compact toy vehicle with angular body and simple form.,5,68229605-9453-49e1-91a4-d8c766a60a38
"Toy automobile with blocky body, prominent wheels, and minimalist roof.",2,68229605-9453-49e1-91a4-d8c766a60a38
"Brick-like vehicle featuring angular sides, rectangular roof panel, and rounded front.",3,68229605-9453-49e1-91a4-d8c766a60a38
"Toy car with a layered body, distinct cuboid cabin, cylindrical exhaust, and tiered rear end.",8,68229605-9453-49e1-91a4-d8c766a60a38
"Constructed vehicle with an angular, layered body; the cabin sits centrally. The rear is more elevated with a cylindrical exhaust, and the front has a slightly rounded shape with distinct angles, suggesting a hood. The sides are flat with an even, block-like structure.",2,68229605-9453-49e1-91a4-d8c766a60a38
Compact toy vehicle with angular body and simple form.,14,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Toy automobile with blocky body, prominent wheels, and minimalist roof.",10,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Brick-like vehicle featuring angular sides, rectangular roof panel, and rounded front.",12,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Toy car with a layered body, distinct cuboid cabin, cylindrical exhaust, and tiered rear end.",13,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Constructed vehicle with an angular, layered body; the cabin sits centrally. The rear is more elevated with a cylindrical exhaust, and the front has a slightly rounded shape with distinct angles, suggesting a hood. The sides are flat with an even, block-like structure.",22,98bb61c1-5bca-42cc-9739-53a64c3dd976
Compact car with angular features and layered structure.,6,8086477b-f21e-4d4b-b475-914ac36fcd48
A small car with a blocky front segment and streamlined rear.,27,8086477b-f21e-4d4b-b475-914ac36fcd48
"Compact car design includes a distinct hood, a low roofline, and tapered rear.",9,8086477b-f21e-4d4b-b475-914ac36fcd48
"The car includes a solid base, a sloped front area, segmented roof, and raised rear section.",5,8086477b-f21e-4d4b-b475-914ac36fcd48
"This car features a rectangular base with a raised front section, creating a wedge shape. The low-sitting central roof is flanked by gradual slopes leading to a tapered rear. Each side displays symmetrical protrusions defining its front and back ends, adding to its geometric balance.",2,8086477b-f21e-4d4b-b475-914ac36fcd48
Compact car with angular features and layered structure.,5,508fa491-0256-4fcc-bf48-b7be71aec612
A small car with a blocky front segment and streamlined rear.,10,508fa491-0256-4fcc-bf48-b7be71aec612
"Compact car design includes a distinct hood, a low roofline, and tapered rear.",16,508fa491-0256-4fcc-bf48-b7be71aec612
"The car includes a solid base, a sloped front area, segmented roof, and raised rear section.",2,508fa491-0256-4fcc-bf48-b7be71aec612
"This car features a rectangular base with a raised front section, creating a wedge shape. The low-sitting central roof is flanked by gradual slopes leading to a tapered rear. Each side displays symmetrical protrusions defining its front and back ends, adding to its geometric balance.",2,508fa491-0256-4fcc-bf48-b7be71aec612
"Compact car with layered, rectangular block components.",4,7f21a60c-505a-404b-8b4f-bb7a223d6fc0
"A car shape featuring a stacked, rectangular form with angled top.",21,7f21a60c-505a-404b-8b4f-bb7a223d6fc0
"Car with a flat rectangular roof, layered sides, and short front.",7,7f21a60c-505a-404b-8b4f-bb7a223d6fc0
"Rectangular car body with distinct, tiered layers and smooth corners.",10,7f21a60c-505a-404b-8b4f-bb7a223d6fc0
"Vehicle form with a layered, rectangular body, angled top, and smooth edges.",9,7f21a60c-505a-404b-8b4f-bb7a223d6fc0
Car with a blocky form and protruding elements.,2,a83a9e59-89db-4dab-b5ee-d3575fdd2e6e
Rectangular car with geometric contours and distinct layered elevations.,9,a83a9e59-89db-4dab-b5ee-d3575fdd2e6e
"Car featuring a segmented roof, angular body, and pronounced front and rear.",7,a83a9e59-89db-4dab-b5ee-d3575fdd2e6e
"A blocky car with angular sides, stepped roof, and elevated rear section. The front and back have protruding sections.",3,a83a9e59-89db-4dab-b5ee-d3575fdd2e6e
"Blocky, angular car with a stepped roof and raised rear. The front and back protrude slightly, and the sides feature a uniform, tiered arrangement.",9,a83a9e59-89db-4dab-b5ee-d3575fdd2e6e
Car with a blocky form and protruding elements.,41,b7e87b8b-ee27-4774-a510-b7a9147b1f9f
Rectangular car with geometric contours and distinct layered elevations.,22,b7e87b8b-ee27-4774-a510-b7a9147b1f9f
"Car featuring a segmented roof, angular body, and pronounced front and rear.",6,b7e87b8b-ee27-4774-a510-b7a9147b1f9f
"A blocky car with angular sides, stepped roof, and elevated rear section. The front and back have protruding sections.",30,b7e87b8b-ee27-4774-a510-b7a9147b1f9f
"Blocky, angular car with a stepped roof and raised rear. The front and back protrude slightly, and the sides feature a uniform, tiered arrangement.",9,b7e87b8b-ee27-4774-a510-b7a9147b1f9f
Compact car with angular and blocky form.,4,314a93a1-214f-4367-8e7f-c434e84a8846
A vehicle with a blocky shape and structured outline.,8,314a93a1-214f-4367-8e7f-c434e84a8846
Boxy car featuring elevated front and rear sections with a flat roof.,2,314a93a1-214f-4367-8e7f-c434e84a8846
"Angular car with a rectangular body, slightly elevated roof, and distinct wheel arches.",45,314a93a1-214f-4367-8e7f-c434e84a8846
"A compact, geometric car with a rectangular profile and raised roof. The front and rear are elevated with recessed sections for wheels, creating a defined angular structure.",3,314a93a1-214f-4367-8e7f-c434e84a8846
Compact car with angular and blocky form.,28,6ca3aff4-3c40-44e2-845d-2879bae7bcd9
A vehicle with a blocky shape and structured outline.,6,6ca3aff4-3c40-44e2-845d-2879bae7bcd9
Boxy car featuring elevated front and rear sections with a flat roof.,5,6ca3aff4-3c40-44e2-845d-2879bae7bcd9
"Angular car with a rectangular body, slightly elevated roof, and distinct wheel arches.",1,6ca3aff4-3c40-44e2-845d-2879bae7bcd9
"A compact, geometric car with a rectangular profile and raised roof. The front and rear are elevated with recessed sections for wheels, creating a defined angular structure.",5,6ca3aff4-3c40-44e2-845d-2879bae7bcd9
Compact car with a squared body.,10,512668ee-33b9-4ae1-9d8b-10c738fd118f
Boxy car featuring layered segments and angular outlines.,3,512668ee-33b9-4ae1-9d8b-10c738fd118f
"Compact vehicle with a squared front, tiered roof, and rounded wheel arches.",7,512668ee-33b9-4ae1-9d8b-10c738fd118f
"Vehicle with a boxy profile, squared nose, stepped windshield, rounded wheel arches, and blocky rear.",6,512668ee-33b9-4ae1-9d8b-10c738fd118f
"A compact car with a squared-off front and two levels at the top, having a stepped windshield and tiered roof. The body features rounded arches for wheels, a blocky rear structure, and angular contours that define its overall geometry.",3,512668ee-33b9-4ae1-9d8b-10c738fd118f
Compact car with a squared body.,5,63864311-bbde-4ce3-9d2e-d8858d5d9d6c
Boxy car featuring layered segments and angular outlines.,10,63864311-bbde-4ce3-9d2e-d8858d5d9d6c
"Compact vehicle with a squared front, tiered roof, and rounded wheel arches.",4,63864311-bbde-4ce3-9d2e-d8858d5d9d6c
"Vehicle with a boxy profile, squared nose, stepped windshield, rounded wheel arches, and blocky rear.",17,63864311-bbde-4ce3-9d2e-d8858d5d9d6c
"A compact car with a squared-off front and two levels at the top, having a stepped windshield and tiered roof. The body features rounded arches for wheels, a blocky rear structure, and angular contours that define its overall geometry.",6,63864311-bbde-4ce3-9d2e-d8858d5d9d6c
A basic car shape with defined contours and stacked layers.,40,2ad976c6-6287-41e5-8571-62ab42e747b5
"Rectangular car form with smooth, sloping front and rear sections.",100,2ad976c6-6287-41e5-8571-62ab42e747b5
"Geometric car body featuring a layered top, smooth edges, and defined front.",6,2ad976c6-6287-41e5-8571-62ab42e747b5
"The car exhibits a blocky profile, square rear end, and curved roofline.",7,2ad976c6-6287-41e5-8571-62ab42e747b5
"An angular car with a sloped front, layered roof, and hefty rectangular rear. The roof gently curves over the central body, while the front tapers slightly. The car’s rear has a squared design, adding balance to the overall shape.",20,2ad976c6-6287-41e5-8571-62ab42e747b5
A basic car shape with defined contours and stacked layers.,3,e977680b-a537-4074-9550-549198aab896
"Rectangular car form with smooth, sloping front and rear sections.",11,e977680b-a537-4074-9550-549198aab896
"Geometric car body featuring a layered top, smooth edges, and defined front.",5,e977680b-a537-4074-9550-549198aab896
"The car exhibits a blocky profile, square rear end, and curved roofline.",5,e977680b-a537-4074-9550-549198aab896
"An angular car with a sloped front, layered roof, and hefty rectangular rear. The roof gently curves over the central body, while the front tapers slightly. The car’s rear has a squared design, adding balance to the overall shape.",0,e977680b-a537-4074-9550-549198aab896
"Compact car with blocky, angular exterior.",6,d6e30210-f605-401f-a71d-583a08f58caf
"The car features a robust, geometric form with layered surfaces.",2,d6e30210-f605-401f-a71d-583a08f58caf
A vehicle showcasing a cuboid body and slightly elevated roof structure.,6,d6e30210-f605-401f-a71d-583a08f58caf
The car includes a blocky exterior defined by a stepped roof and indented front.,1,d6e30210-f605-401f-a71d-583a08f58caf
"A small car with a compact, angular body. It has a layered roof design tapering towards the rear. The front features indented lines, while the sides are smooth with rectangular windows formed by gaps in the structure.",1,d6e30210-f605-401f-a71d-583a08f58caf
"Compact car with blocky, angular exterior.",8,a252f49d-d71f-40ea-8c90-fce9d383ad67
"The car features a robust, geometric form with layered surfaces.",7,a252f49d-d71f-40ea-8c90-fce9d383ad67
A vehicle showcasing a cuboid body and slightly elevated roof structure.,3,a252f49d-d71f-40ea-8c90-fce9d383ad67
The car includes a blocky exterior defined by a stepped roof and indented front.,9,a252f49d-d71f-40ea-8c90-fce9d383ad67
"A small car with a compact, angular body. It has a layered roof design tapering towards the rear. The front features indented lines, while the sides are smooth with rectangular windows formed by gaps in the structure.",1,a252f49d-d71f-40ea-8c90-fce9d383ad67
Compact car with distinctive geometric features.,22,a4496596-3d62-4d74-a76a-1bc71641b452
A boxy car shape with layered rectangular elements.,8,a4496596-3d62-4d74-a76a-1bc71641b452
"The car features a rectangular body, prominent layered front, and angular sides.",0,a4496596-3d62-4d74-a76a-1bc71641b452
"A car with a blocky body, distinct stepped front profile, and angular rear section.",13,a4496596-3d62-4d74-a76a-1bc71641b452
"A car characterized by a rectangular body with angular, tiered front layers and an indented rear section, juxtaposing straight and stepped lines.",3,a4496596-3d62-4d74-a76a-1bc71641b452
Compact car with a boxy shape and layered surfaces.,5,89d7730c-6a2e-493a-8422-43dbf3ff535f
Compact vehicle featuring a rectangular body with a stepped profile.,11,89d7730c-6a2e-493a-8422-43dbf3ff535f
A cuboid car structure with tiered surfaces and defined angles.,2,89d7730c-6a2e-493a-8422-43dbf3ff535f
Rectangular car formation with layered elevation and contoured sections. The front and rear segments display angular projections and recesses.,5,89d7730c-6a2e-493a-8422-43dbf3ff535f
"A compact car form with a rectangular body and step-like elevation. The front end features angular protrusions and defined edges, while the sides are smooth with a gradual rise toward the roof, ending in a distinct rear structure.",1,89d7730c-6a2e-493a-8422-43dbf3ff535f
Compact car with a boxy shape and layered surfaces.,5,bd165d22-3a44-4e75-b309-618cbe6c1535
Compact vehicle featuring a rectangular body with a stepped profile.,10,bd165d22-3a44-4e75-b309-618cbe6c1535
A cuboid car structure with tiered surfaces and defined angles.,1,bd165d22-3a44-4e75-b309-618cbe6c1535
Rectangular car formation with layered elevation and contoured sections. The front and rear segments display angular projections and recesses.,3,bd165d22-3a44-4e75-b309-618cbe6c1535
"A compact car form with a rectangular body and step-like elevation. The front end features angular protrusions and defined edges, while the sides are smooth with a gradual rise toward the roof, ending in a distinct rear structure.",1,bd165d22-3a44-4e75-b309-618cbe6c1535
Compact toy car with blocky geometry and angular features.,4,94a3cea1-718e-417d-bf6d-7433fde9437f
A toy car with a rectangular body and box-like shapes.,4,94a3cea1-718e-417d-bf6d-7433fde9437f
"The car features a flat top, angular sides, and squared edges.",5,94a3cea1-718e-417d-bf6d-7433fde9437f
"The toy car has a rectangular frame with layered, stacked elements forming its body.",16,94a3cea1-718e-417d-bf6d-7433fde9437f
"This car showcases a boxy form with a distinct rectangular cabin, a layered roof, and a compact front end. The angular body includes a subtly raised section along the top center, flanked by squared side sections.",19,94a3cea1-718e-417d-bf6d-7433fde9437f
Compact toy car with blocky geometry and angular features.,2,42711e28-acdf-4928-9a32-15325646da05
A toy car with a rectangular body and box-like shapes.,6,42711e28-acdf-4928-9a32-15325646da05
"The car features a flat top, angular sides, and squared edges.",27,42711e28-acdf-4928-9a32-15325646da05
"The toy car has a rectangular frame with layered, stacked elements forming its body.",2,42711e28-acdf-4928-9a32-15325646da05
"This car showcases a boxy form with a distinct rectangular cabin, a layered roof, and a compact front end. The angular body includes a subtly raised section along the top center, flanked by squared side sections.",2,42711e28-acdf-4928-9a32-15325646da05
Compact car with angular and blocky features.,11,f297bfe6-9229-4940-b88c-086460d799e1
"A small vehicle with a boxy, geometric form and tiered elements.",20,f297bfe6-9229-4940-b88c-086460d799e1
"The car features a rectangular base with a segmented roof and tiered, layered surfaces.",4,f297bfe6-9229-4940-b88c-086460d799e1
"This vehicle showcases a rectangular body, stepped roof, and layered, angular surfaces, with small appendages representing wheels.",4,f297bfe6-9229-4940-b88c-086460d799e1
"A compact car with a rectangular body, blocky profile, tiered roof, and angular elements. It has pronounced steps on the top surfaces and protruding sections at the base, suggesting wheels beneath its rectangular structure.",0,f297bfe6-9229-4940-b88c-086460d799e1
Compact car with angular and blocky features.,14,c2479ef9-a8d9-4d59-a822-5b76266b2bc3
"A small vehicle with a boxy, geometric form and tiered elements.",8,c2479ef9-a8d9-4d59-a822-5b76266b2bc3
"The car features a rectangular base with a segmented roof and tiered, layered surfaces.",2,c2479ef9-a8d9-4d59-a822-5b76266b2bc3
"This vehicle showcases a rectangular body, stepped roof, and layered, angular surfaces, with small appendages representing wheels.",7,c2479ef9-a8d9-4d59-a822-5b76266b2bc3
"A compact car with a rectangular body, blocky profile, tiered roof, and angular elements. It has pronounced steps on the top surfaces and protruding sections at the base, suggesting wheels beneath its rectangular structure.",3,c2479ef9-a8d9-4d59-a822-5b76266b2bc3
A compact car with prominent geometric features.,10,a7686701-a08b-4866-99f2-b68eecaba659
The car has a blocky body with raised front and back sections.,4,a7686701-a08b-4866-99f2-b68eecaba659
"Compact car with a rectangular body, elevated rear, and chiseled front end.",9,a7686701-a08b-4866-99f2-b68eecaba659
"A rectangular car structure with distinct angular contours, featuring an elevated rear and detailed front sections.",12,a7686701-a08b-4866-99f2-b68eecaba659
"The car shows a rectangular form with a raised rear and blocky front. The body has layered angular contours along the sides, and the top surface is flat with small projections at the front and rear, giving it a defined geometric profile.",16,a7686701-a08b-4866-99f2-b68eecaba659
"Compact car with a layered, angular facade.",6,2c766469-09de-433a-8cde-0c106e693e59
Angular car featuring tiered roof and geometric sides.,50,2c766469-09de-433a-8cde-0c106e693e59
"Car with a boxy front, tiered rooftop, and angular sides.",12,2c766469-09de-433a-8cde-0c106e693e59
"Geometric car showcasing a stepped roof and angular, layered body.",18,2c766469-09de-433a-8cde-0c106e693e59
"A compact car with an angular design featuring a stepped roof and boxy front. The sides are composed of layered, rectangular segments, creating an angular profile. The rear displays a slightly elevated section, adding to the stepped aesthetic.",0,2c766469-09de-433a-8cde-0c106e693e59
"Compact car with a layered, angular facade.",6,79d2aaa6-8c00-46fa-b258-7471b0a41be7
Angular car featuring tiered roof and geometric sides.,0,79d2aaa6-8c00-46fa-b258-7471b0a41be7
"Car with a boxy front, tiered rooftop, and angular sides.",13,79d2aaa6-8c00-46fa-b258-7471b0a41be7
"Geometric car showcasing a stepped roof and angular, layered body.",4,79d2aaa6-8c00-46fa-b258-7471b0a41be7
"A compact car with an angular design featuring a stepped roof and boxy front. The sides are composed of layered, rectangular segments, creating an angular profile. The rear displays a slightly elevated section, adding to the stepped aesthetic.",3,79d2aaa6-8c00-46fa-b258-7471b0a41be7
"A compact, block-based car with layered elements.",0,87e3c1ad-9567-42ab-a83d-96b31c285314
A rectangular car with a layered roof and protruding front grille.,7,87e3c1ad-9567-42ab-a83d-96b31c285314
"A boxy car featuring a tiered roof, protruding front grille, and stacked rear.",6,87e3c1ad-9567-42ab-a83d-96b31c285314
"A car with a flat, rectangular top, prominent stacked front grille, layered sides, and rectangular rear.",2,87e3c1ad-9567-42ab-a83d-96b31c285314
"A compact car with a rectangular base, flat top surface, vertically layered sides, protruding front grille composed of small segments, and a tiered rear section utilizing a block-stack design.",16,87e3c1ad-9567-42ab-a83d-96b31c285314
"A compact, block-based car with layered elements.",1,e26b7fc1-cb23-4aeb-a039-011e136f91eb
A rectangular car with a layered roof and protruding front grille.,5,e26b7fc1-cb23-4aeb-a039-011e136f91eb
"A boxy car featuring a tiered roof, protruding front grille, and stacked rear.",1,e26b7fc1-cb23-4aeb-a039-011e136f91eb
"A car with a flat, rectangular top, prominent stacked front grille, layered sides, and rectangular rear.",14,e26b7fc1-cb23-4aeb-a039-011e136f91eb
"A compact car with a rectangular base, flat top surface, vertically layered sides, protruding front grille composed of small segments, and a tiered rear section utilizing a block-stack design.",4,e26b7fc1-cb23-4aeb-a039-011e136f91eb
"Compact car with a smooth, rounded roof and integrated bumpers.",7,9eb64462-bf7a-42bc-9a06-51bd3ee6e79e
"A car with a streamlined body, prominent front grille, and rounded edges.",10,9eb64462-bf7a-42bc-9a06-51bd3ee6e79e
"A car featuring a low, flat rectangular base, subtly curved roof, and defined front and rear sections.",6,9eb64462-bf7a-42bc-9a06-51bd3ee6e79e
"This car shows a flat, elongated body with a slightly arched top, rectangular front grille, and wide wheel placements.",1,9eb64462-bf7a-42bc-9a06-51bd3ee6e79e
"The car has a flat, rectangular base with a slightly curved top. The front is squared with layered, stepped formation. The roof curves gently into the rear, which is broad and slightly tapered. Rectangular rear panels extend slightly outward, complementing the overall compact form.",7,9eb64462-bf7a-42bc-9a06-51bd3ee6e79e
Compact car with a blocky geometric form.,2,115fa015-7072-46d6-9a61-e41f23674f7a
The car has a rectangular body with stepped elevation.,53,115fa015-7072-46d6-9a61-e41f23674f7a
A rectangular car with tiered layers and a flat top surface.,3,115fa015-7072-46d6-9a61-e41f23674f7a
"The car features a rectangular body, elevated rear section, and layered roof.",15,115fa015-7072-46d6-9a61-e41f23674f7a
"A compact car with a rectangular form. The front has a stepped arrangement, and the roof is layered. The rear section is slightly elevated with a flat back surface. Small round elements indicate the wheel areas.",26,115fa015-7072-46d6-9a61-e41f23674f7a
Compact car with a blocky geometric form.,0,95d98133-7d22-4fa5-a896-70c192b60b37
The car has a rectangular body with stepped elevation.,5,95d98133-7d22-4fa5-a896-70c192b60b37
A rectangular car with tiered layers and a flat top surface.,5,95d98133-7d22-4fa5-a896-70c192b60b37
"The car features a rectangular body, elevated rear section, and layered roof.",5,95d98133-7d22-4fa5-a896-70c192b60b37
"A compact car with a rectangular form. The front has a stepped arrangement, and the roof is layered. The rear section is slightly elevated with a flat back surface. Small round elements indicate the wheel areas.",0,95d98133-7d22-4fa5-a896-70c192b60b37
Compact vehicle with a rounded top and blocky features.,40,9f1a70da-e1d3-4825-af1d-5b636fa7b3b4
Boxy car with rounded roof and pronounced front and rear segments.,30,9f1a70da-e1d3-4825-af1d-5b636fa7b3b4
"Automobile with cylindrical top section, rectangular body, and distinctive front.",8,9f1a70da-e1d3-4825-af1d-5b636fa7b3b4
"Car structure featuring a rounded roof, two-block high sides, protruding front section, and defined rear.",7,9f1a70da-e1d3-4825-af1d-5b636fa7b3b4
"A compact vehicle with a smoothly rounded top and angular body. The roof is gently arched, with taller rear columns. The front protrudes slightly, composed of stepped layers, while the rear maintains a flat, defined edge.",4,9f1a70da-e1d3-4825-af1d-5b636fa7b3b4
Compact vehicle with a rounded top and blocky features.,27,8fc82da2-247f-441a-bbf7-3f330cd494b7
Boxy car with rounded roof and pronounced front and rear segments.,0,8fc82da2-247f-441a-bbf7-3f330cd494b7
"Automobile with cylindrical top section, rectangular body, and distinctive front.",6,8fc82da2-247f-441a-bbf7-3f330cd494b7
"Car structure featuring a rounded roof, two-block high sides, protruding front section, and defined rear.",9,8fc82da2-247f-441a-bbf7-3f330cd494b7
"A compact vehicle with a smoothly rounded top and angular body. The roof is gently arched, with taller rear columns. The front protrudes slightly, composed of stepped layers, while the rear maintains a flat, defined edge.",16,8fc82da2-247f-441a-bbf7-3f330cd494b7
Rectangular car shape with simple geometric elements.,16,b667e1c2-9182-4d42-863d-4311d33f5f2d
Compact car form with a consistent blocky facade.,4,b667e1c2-9182-4d42-863d-4311d33f5f2d
Car structure includes a boxy body and defined edges.,13,b667e1c2-9182-4d42-863d-4311d33f5f2d
