structure_id,prompt,brick_rejections
b37748b4-fd23-4465-8b8b-d98e70819574,A compact vehicle with a block-like shape.,298
b37748b4-fd23-4465-8b8b-d98e70819574,A brick-formed automobile with a rectangular body and angular edges.,6
b37748b4-fd23-4465-8b8b-d98e70819574,"Car with a rectangular form, flat roof, front grille, and rear bumper.",76
b37748b4-fd23-4465-8b8b-d98e70819574,"Brick-built car with geometric contours, broad front, and boxy rear.",331
b37748b4-fd23-4465-8b8b-d98e70819574,"Rectangular car with geometric structure, featuring a flat top, defined front grille, protruding rear bumper, and symmetrical brick arrangement along the sides.",415
4b95d946-3118-4c57-867e-7c82420d62bb,Compact car with angular contours and tiered segments.,124
4b95d946-3118-4c57-867e-7c82420d62bb,"Geometric car with a blocky front, sloped rear, and stepped roof.",126
4b95d946-3118-4c57-867e-7c82420d62bb,"The car features a rectangular base, sloped hood, and tiered top. The front is detailed with protrusions, while the rear gradually tapers.",151
4b95d946-3118-4c57-867e-7c82420d62bb,"An angular car shaped with a flat base, curved windshield area, and tiered roofline. The front and back showcase distinct geometric protrusions.",26
4b95d946-3118-4c57-867e-7c82420d62bb,"This car displays a rectangular body with an elevated, tiered roof and a sloped front. Protruding elements on the front mirror the rear, with a subtle taper that defines the shape.",110
1c40870f-10ab-4fb6-a11e-d96533f37e35,Compact car with angular contours and tiered segments.,36
1c40870f-10ab-4fb6-a11e-d96533f37e35,"Geometric car with a blocky front, sloped rear, and stepped roof.",81
1c40870f-10ab-4fb6-a11e-d96533f37e35,"The car features a rectangular base, sloped hood, and tiered top. The front is detailed with protrusions, while the rear gradually tapers.",31
1c40870f-10ab-4fb6-a11e-d96533f37e35,"An angular car shaped with a flat base, curved windshield area, and tiered roofline. The front and back showcase distinct geometric protrusions.",16
1c40870f-10ab-4fb6-a11e-d96533f37e35,"This car displays a rectangular body with an elevated, tiered roof and a sloped front. Protruding elements on the front mirror the rear, with a subtle taper that defines the shape.",127
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,"Boxy car with a simple, angular exterior.",176
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,Box-shaped vehicle featuring a flat top and straight sides.,159
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,Rectangular car form with a flat roof and angular contours.,203
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,"Rectangular car with straight sides, flat top, uniform height, and square rear.",5
31d522ab-cc9c-4c2a-b1d9-cf65b9e18196,"Car with a rectangular body, flat top, and angular sides. The front features square openings resembling headlights, and the rear maintains a blocky shape. The overall form is uniform in height, with a consistent alignment of geometric edges.",384
3a01b1e5-c49e-4694-912f-3b0055860ec1,"Boxy car with a simple, angular exterior.",1499
3a01b1e5-c49e-4694-912f-3b0055860ec1,Box-shaped vehicle featuring a flat top and straight sides.,178
3a01b1e5-c49e-4694-912f-3b0055860ec1,Rectangular car form with a flat roof and angular contours.,173
3a01b1e5-c49e-4694-912f-3b0055860ec1,"Rectangular car with straight sides, flat top, uniform height, and square rear.",455
3a01b1e5-c49e-4694-912f-3b0055860ec1,"Car with a rectangular body, flat top, and angular sides. The front features square openings resembling headlights, and the rear maintains a blocky shape. The overall form is uniform in height, with a consistent alignment of geometric edges.",601
93d1d80e-b62e-43f4-981a-76e71d7b3722,Compact car with a rounded top and flat base.,133
93d1d80e-b62e-43f4-981a-76e71d7b3722,"A vehicle featuring a curved roof, protruding rear, and flat sides.",172
93d1d80e-b62e-43f4-981a-76e71d7b3722,"Car with a distinct rounded rooftop, boxy rear, flat sides, and tiered front end.",36
93d1d80e-b62e-43f4-981a-76e71d7b3722,"Automobile with a dome-shaped roof, squared-off back, straight sides, and layered front components.",1086
93d1d80e-b62e-43f4-981a-76e71d7b3722,"Car with a smoothly arched roof; rectangular rear; straight, consistent sides; and a multi-tiered, incrementally stepped front section, exhibiting a structured design.",82
dcd31761-afb2-405b-bc72-9166a4f2b75d,Compact car with a rounded top and flat base.,227
dcd31761-afb2-405b-bc72-9166a4f2b75d,"A vehicle featuring a curved roof, protruding rear, and flat sides.",468
dcd31761-afb2-405b-bc72-9166a4f2b75d,"Car with a distinct rounded rooftop, boxy rear, flat sides, and tiered front end.",4
dcd31761-afb2-405b-bc72-9166a4f2b75d,"Automobile with a dome-shaped roof, squared-off back, straight sides, and layered front components.",1020
dcd31761-afb2-405b-bc72-9166a4f2b75d,"Car with a smoothly arched roof; rectangular rear; straight, consistent sides; and a multi-tiered, incrementally stepped front section, exhibiting a structured design.",5
57067e02-bd87-4a83-a80c-76ba24310b9f,A blocky car with a box-like structure and roof.,8
57067e02-bd87-4a83-a80c-76ba24310b9f,"Compact car with a rectangular body, flat roof, and tiered sections.",88
57067e02-bd87-4a83-a80c-76ba24310b9f,"Box-shaped car featuring a stepped roof, pronounced front, and rear extensions.",77
57067e02-bd87-4a83-a80c-76ba24310b9f,"Rectangular car with layered roof design, extended front, and defined rear end, featuring angular sides.",4
57067e02-bd87-4a83-a80c-76ba24310b9f,"A compact car with a rectangular body, tiered roof comprising three levels, and blocky, angular features. It includes a protruding front section and a distinct rear section with a slight elevation. The sides consist of interlocking rectangular elements, providing a cohesive shape.",0
30d0bc84-0d37-4d10-8df7-f41043c5e06b,A blocky car with a box-like structure and roof.,127
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"Compact car with a rectangular body, flat roof, and tiered sections.",338
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"Box-shaped car featuring a stepped roof, pronounced front, and rear extensions.",235
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"Rectangular car with layered roof design, extended front, and defined rear end, featuring angular sides.",377
30d0bc84-0d37-4d10-8df7-f41043c5e06b,"A compact car with a rectangular body, tiered roof comprising three levels, and blocky, angular features. It includes a protruding front section and a distinct rear section with a slight elevation. The sides consist of interlocking rectangular elements, providing a cohesive shape.",129
a4438633-7e2c-45d7-940b-f485dd56f424,Car with prominent rectangular shape and elevated rectangular feature.,181
a4438633-7e2c-45d7-940b-f485dd56f424,Geometric car featuring a blocky body with vertical projection.,40
a4438633-7e2c-45d7-940b-f485dd56f424,Rectangular car form with extended rear and upright centered column.,323
a4438633-7e2c-45d7-940b-f485dd56f424,"Blocky car structure, rectangular base, elevated rear section, vertical pole.",141
a4438633-7e2c-45d7-940b-f485dd56f424,"A rectangular car body with a blocky front and elevated rear. The backside features a central, vertical column rising from the base. The car's underside consists of four evenly spaced, tiny protrusions acting as wheels.",198
56bafa5b-64b3-453e-8732-3958fd357038,Car with prominent rectangular shape and elevated rectangular feature.,126
56bafa5b-64b3-453e-8732-3958fd357038,Geometric car featuring a blocky body with vertical projection.,139
56bafa5b-64b3-453e-8732-3958fd357038,Rectangular car form with extended rear and upright centered column.,461
56bafa5b-64b3-453e-8732-3958fd357038,"Blocky car structure, rectangular base, elevated rear section, vertical pole.",97
56bafa5b-64b3-453e-8732-3958fd357038,"A rectangular car body with a blocky front and elevated rear. The backside features a central, vertical column rising from the base. The car's underside consists of four evenly spaced, tiny protrusions acting as wheels.",405
a211de3b-1d81-484c-b8fc-60e43264ea4e,Compact vehicle with tiered layers and pronounced contours.,168
a211de3b-1d81-484c-b8fc-60e43264ea4e,Small vehicle featuring stacked tiers and prominent front and rear.,282
a211de3b-1d81-484c-b8fc-60e43264ea4e,"A vehicle with a layered body and squared-off front, rear mirroring the front.",293
a211de3b-1d81-484c-b8fc-60e43264ea4e,"Car with a tiered top, squared front and back, short and angled sides.",150
a211de3b-1d81-484c-b8fc-60e43264ea4e,"Car with a layered top, stacked rectangular sections form the body, squared front with downward tiers, rear mirroring the front, rectangular sides taper slightly downward.",50
12f6311a-afb2-42bf-9f9c-34cc7005545c,"Car with angular, blocky form and distinct rectangular components.",22
12f6311a-afb2-42bf-9f9c-34cc7005545c,The vehicle's structure features a box-like body with defined edges.,192
12f6311a-afb2-42bf-9f9c-34cc7005545c,"This automotive form exhibits a flat hood, squared cabin, and tiered elevation.",11
12f6311a-afb2-42bf-9f9c-34cc7005545c,"An angular vehicle characterized by a broad, flat top panel; protruding rectangular sections form the front and rear bumpers.",244
12f6311a-afb2-42bf-9f9c-34cc7005545c,"A rectangular car shape with a flat top extending over a blocky body. Protruding rectangular front and rear sections suggest headlights and a bumper. The hood and roof share a continuous, even surface with squared sides delineating the cabin area.",223
d2ca4cf1-c0c5-4339-a4a2-522aae7993f3,"Car with angular, blocky form and distinct rectangular components.",35
d2ca4cf1-c0c5-4339-a4a2-522aae7993f3,The vehicle's structure features a box-like body with defined edges.,616
d2ca4cf1-c0c5-4339-a4a2-522aae7993f3,"This automotive form exhibits a flat hood, squared cabin, and tiered elevation.",356
d2ca4cf1-c0c5-4339-a4a2-522aae7993f3,"An angular vehicle characterized by a broad, flat top panel; protruding rectangular sections form the front and rear bumpers.",391
d2ca4cf1-c0c5-4339-a4a2-522aae7993f3,"A rectangular car shape with a flat top extending over a blocky body. Protruding rectangular front and rear sections suggest headlights and a bumper. The hood and roof share a continuous, even surface with squared sides delineating the cabin area.",77
06568592-b3e5-4e3b-8003-fc372716f2a6,Compact car structure with a blocky design.,58
06568592-b3e5-4e3b-8003-fc372716f2a6,Rectangular car form featuring blocky edges and stepped contours.,13
06568592-b3e5-4e3b-8003-fc372716f2a6,"Boxy car with a flat roof, rounded front, and stepped rear.",56
06568592-b3e5-4e3b-8003-fc372716f2a6,"A car with a low, flat roof, smooth front corners, and a tiered rear section.",215
06568592-b3e5-4e3b-8003-fc372716f2a6,"The car features a boxy shape with a flat roof and rounded front. Its body includes a stepped side profile leading to a rear section with tiered horizontal layers. The front corners are smoothly rounded, creating a gentle transition from the sides.",88
83980af4-bb82-47dc-bdcd-c64e063d09fa,Compact car structure with a blocky design.,153
83980af4-bb82-47dc-bdcd-c64e063d09fa,Rectangular car form featuring blocky edges and stepped contours.,338
83980af4-bb82-47dc-bdcd-c64e063d09fa,"Boxy car with a flat roof, rounded front, and stepped rear.",5
83980af4-bb82-47dc-bdcd-c64e063d09fa,"A car with a low, flat roof, smooth front corners, and a tiered rear section.",81
83980af4-bb82-47dc-bdcd-c64e063d09fa,"The car features a boxy shape with a flat roof and rounded front. Its body includes a stepped side profile leading to a rear section with tiered horizontal layers. The front corners are smoothly rounded, creating a gentle transition from the sides.",119
dfbd7dd5-b855-4a52-afd9-41a96195498e,Compact car with prominent rectangular and angular geometry.,47
dfbd7dd5-b855-4a52-afd9-41a96195498e,Rectangular vehicle with distinct angular contours and geometric features.,571
dfbd7dd5-b855-4a52-afd9-41a96195498e,"Car with a boxy shape, flat top, and angular edges throughout.",1018
dfbd7dd5-b855-4a52-afd9-41a96195498e,The car has an elongated rectangular form with prominent boxy contours. The front features angular components aligned with the overall structure.,129
dfbd7dd5-b855-4a52-afd9-41a96195498e,"An elongated, boxy car with a flat top and angular edges. The front is composed of stacked, angular elements, while the sides are uniformly flat. The rear section mirrors the front's angular style, maintaining the geometric consistency of the car.",755
74430339-b185-45fc-94e4-805899374578,Compact car with prominent rectangular and angular geometry.,13
74430339-b185-45fc-94e4-805899374578,Rectangular vehicle with distinct angular contours and geometric features.,153
